Date,WMT,DOW
1990-05-04,6.328125,2710.360107
1990-05-07,6.40625,2721.620117
1990-05-08,6.421875,2733.560059
1990-05-09,6.421875,2732.879883
1990-05-10,6.5,2738.510010
1990-05-11,6.6875,2801.580078
1990-05-14,6.8125,2821.530029
1990-05-15,6.6875,2822.449951
1990-05-16,6.625,2819.679932
1990-05-17,6.765625,2831.709961
1990-05-18,6.796875,2819.909912
1990-05-21,7.03125,2844.679932
1990-05-22,7.015625,2852.229980
1990-05-23,7.03125,2856.260010
1990-05-24,7,2855.550049
1990-05-25,6.890625,2820.919922
1990-05-29,7.1875,2870.489990
1990-05-30,7.09375,2878.560059
1990-05-31,7.046875,2876.659912
1990-06-01,7.296875,2900.969971
1990-06-04,7.578125,2935.189941
1990-06-05,7.546875,2925.000000
1990-06-06,7.5625,2911.649902
1990-06-07,7.609375,2897.330078
1990-06-08,7.4375,2862.379883
1990-06-11,7.546875,2892.570068
1990-06-12,7.78125,2933.419922
1990-06-13,7.84375,2929.949951
1990-06-14,7.859375,2928.219971
1990-06-15,7.84375,2935.889893
1990-06-18,7.734375,2882.179932
1990-06-19,7.734375,2893.560059
